lactkey,Breed,CalveDate,Parity,Scale,Ramp,Offset,Decay,points,RMSE,M305,PeakDay,PeakMilk,dim1,milk1,dim2,milk2,dim3,milk3,dim4,milk4,dim5,milk5,dim6,milk6,dim7,milk7,dim8,milk8,dim9,milk9,dim10,milk10
515960, H, 2006-11-16, 1, 43.6, 31.5, -0.5, 0.0019, 9, 4.4, 9475, 68.9, 36.2, 28, 34, 55, 32.7, 90, 37.2, 119, 30, 147, 35, 174, 38.1, 209, 35.4, 237, 23.6, 272, 20.4 
515976, H, 2006-11-19, 1, 37, 31.8, -0.5, 0.001, 10, 5.4, 9168, 88.6, 32.91, 25, 30.9, 52, 30.9, 87, 30.9, 116, 21.8, 144, 32.7, 171, 39, 206, 37.7, 234, 32.7, 269, 27.2, 297, 21.8 
515965, H, 2006-11-13, 1, 34.3, 31.3, -0.5, 0.0022, 10, 4.1, 7148, 64.2, 27.96, 31, 28.6, 58, 25, 93, 22.2, 122, 28.1, 150, 25, 177, 31.8, 212, 25.9, 240, 18.6, 275, 15.4, 303, 13.6 
515968, H, 2006-11-21, 1, 45.8, 30.1, -0.5, 0.0017, 10, 2.2, 10182, 69, 38.64, 23, 36.3, 50, 35.9, 85, 38.6, 114, 35.4, 142, 38.6, 169, 31.3, 204, 33.6, 232, 33.1, 267, 29.1, 295, 24.5 
515971, H, 2006-11-11, 1, 44.8, 29.7, -0.5, 0.001, 10, 2.5, 11037, 82.9, 39.86, 33, 36.8, 60, 42.2, 95, 35.9, 124, 35.4, 152, 40, 179, 40.9, 214, 37.2, 242, 32.7, 277, 31.8, 305, 33.6 
515853, H, 2006-11-25, 1, 37.6, 32.1, -0.5, 0.0007, 10, 4.5, 9756, 100.7, 34.4, 19, 35, 46, 26.8, 81, 29.1, 110, 31.3, 138, 32.7, 165, 39, 200, 37.7, 228, 33.6, 263, 33.1, 291, 26.8 
515935, H, 2006-11-11, 1, 40, 35, -0.5, 0.0013, 10, 7.7, 9407, 85.6, 34.29, 33, 29.5, 60, 28.1, 95, 30.9, 124, 30.4, 152, 53.6, 179, 36.8, 214, 24.5, 242, 29.1, 277, 28.1, 305, 20.4 
515958, H, 2006-11-27, 1, 50.6, 35.9, -0.5, 0.0024, 10, 7.1, 10123, 65.9, 39.86, 17, 22.7, 44, 36.3, 79, 42.7, 108, 43.1, 136, 45.4, 163, 44.5, 198, 27.7, 226, 30.4, 261, 23.6, 289, 14.1 
515963, H, 2006-11-07, 1, 45.2, 32.9, -0.5, 0.0014, 10, 4.1, 10532, 80, 38.74, 8, 26.3, 37, 37.2, 64, 31.3, 99, 44.5, 128, 37.2, 156, 39.5, 183, 33.6, 218, 40, 246, 29.5, 281, 26.3 
515926, H, 2006-12-04, 1, 38.5, 28.9, -0.5, 0.0017, 10, 5.4, 8645, 68.2, 32.76, 10, 28.6, 37, 34.5, 72, 28.6, 101, 22.2, 129, 29.5, 156, 35.4, 191, 33.6, 219, 28.1, 254, 29.1, 282, 15.4 
